AGENCY,PARENT,2015 US REVENUE,% CHG
Epsilon ,Alliance Data Systems Corp.,1855045,3.5
Accenture Interactive ,Accenture,1231596,70.8
Deloitte Digital* ,Deloitte,865200,NA
IBM Interactive Experience* ,IBM Corp.,796800,NA
Acxiom Corp.*,Independent,765299,7
Razorfish Global* ,Publicis,651665,-1.3
PwC Digital Services ,PwC,624000,NA
BBDO Worldwide* ,Omnicom,602798,4.5
SapientNitro* ,Publicis,585000,1.3
McCann* ,Interpublic,561860,15.9
Edelman ,DJE Holdings,523065,8.5
J. Walter Thompson Co.* ,WPP,504176,5.9
Leo Burnett Worldwide/Arc* ,Publicis,489369,-1
Publicis Worldwide* ,Publicis,487887,7.5
Advantage Marketing Partners ,Advantage Solutions,480668,9.2
Merkle,Independent,464500,5.8
DigitasLBi* ,Publicis,458754,3.4
Rapp* ,Omnicom,458040,0.7
Y&R* ,WPP,454575,4.5
Weber Shandwick* ,Interpublic,448691,5.6
Experian Marketing Services ,Experian,432000,-0.2
Wunderman* ,WPP,415743,4.5
Harte Hanks*,Independent,380940,-14.3
TBWA Worldwide* ,Omnicom,361661,7.5
Havas Worldwide* ,Havas,358600,4.6
FleishmanHillard* ,Omnicom,350458,-0.6
FCB* ,Interpublic,337838,2
Grey* ,WPP,336209,5.8
Mindshare Worldwide* ,WPP,331731,14.5
inVentiv Health* ,inVentiv Group Holdings,325844,8.2
Mosaic ,Acosta,321717,5.9
DDB Worldwide* ,Omnicom,320200,11.2
OMD Worldwide* ,Omnicom,301500,12.5
Ketchum* ,Omnicom,300000,10.8
OgilvyOne Worldwide* ,WPP,292500,1.5
Starcom USA* ,Publicis,289315,0.9
R/GA* ,Interpublic,284137,10
Saatchi & Saatchi* ,Publicis,282000,-2.1
Mediavest USA* ,Publicis,272396,0.8
Ogilvy & Mather Advertising* ,WPP,269620,-1.5
Zenith* ,Publicis,266729,12.9
Freeman,Independent,260000,5.7
MRM//McCann* ,Interpublic,244900,6
FCB Health* ,Interpublic,244825,17.3
Novus Media* ,Omnicom,237459,8.1
MEC* ,WPP,234878,9.4
Horizon Media*,Independent,225000,20.3
iCrossing* ,Hearst Corp.,224940,20
Wieden & Kennedy*,Independent,219000,6.3
MarketStar* ,Omnicom,217680,0.7
Burson-Marsteller* ,WPP,217467,3.6
MediaCom* ,WPP,211050,20.5
Deutsch* ,Interpublic,208680,11
McGarryBowen* ,Dentsu,196000,-2
Havas Health* ,Havas,195500,3.7
Catapult ,Alliance Data Systems Corp.,195420,14.1
Marketing Arm* ,Omnicom,193000,17
Richards Group,Independent,190000,2.2
VML* ,WPP,183000,11.6
Hill Holliday Group* ,Interpublic,178630,-6.2
Huge* ,Interpublic,177300,4.9
Geometry Global* ,WPP,174556,-8.3
MSL Group* ,Publicis,172732,5
George P. Johnson ,Project WorldWide,168779,13.5
360i* ,Dentsu,168200,17.5
ICF Olson ,ICF International,165000,NA
AKQA* ,WPP,163000,8.7
Carat* ,Dentsu,157088,-3
Ogilvy CommonHealth Worldwide* ,WPP,155144,6.6
Interbrand* ,Omnicom,154200,7.7
Match Marketing Group,Independent,153247,13.3
Possible* ,WPP,153000,10
MullenLowe* ,Interpublic,152395,9
Integer Group* ,Omnicom,149910,-5
CP&B* ,MDC Partners,148407,0
Maxus* ,WPP,147751,40
Havas Media Group* ,Havas,146991,NA
Hill&Knowlton Strategies* ,WPP,143276,3.5
